Model,Feature Set,Accuracy,Acc Std,Precision,Prec Std,Recall,Recall Std,F1 Score,F1 Std
SVM,Without PCA,0.954085841535812,0.011973240236259277,0.954085841535812,0.011973240236259277,0.954085841535812,0.011973240236259277,0.954085841535812,0.011973240236259277
SVM,With PCA,0.8687310757665403,0.058471426599934706,0.8687310757665403,0.058471426599934706,0.8687310757665403,0.058471426599934706,0.8687310757665403,0.058471426599934706
kNN,Without PCA,0.9226550824782823,0.022459223128206002,0.9226550824782823,0.022459223128206002,0.9226550824782823,0.022459223128206002,0.9226550824782823,0.022459223128206002
kNN,With PCA,0.8658527466570483,0.05737928756616887,0.8658527466570483,0.05737928756616887,0.8658527466570483,0.05737928756616887,0.8658527466570483,0.05737928756616887
XGBoost,Without PCA,0.9407315419183307,0.021515770639815978,0.9407315419183307,0.021515770639815978,0.9407315419183307,0.021515770639815978,0.9407315419183307,0.021515770639815978
XGBoost,With PCA,0.8690384511948567,0.0508482236839582,0.8690384511948567,0.0508482236839582,0.8690384511948567,0.0508482236839582,0.8690384511948567,0.0508482236839582
